word,quantity
в,775
на,763
и,480
как,434
ли,419
по,365
кто,344
есть,339
с,302
у,258
не,212
можно,190
что,170
привет,170
принимает,168
если,168
пожалуйста,159
подскажите,152
ребят,148
или,136
всем,129
для,110
может,107
когда,99
где,99
а,94
к,93
экзамен,93
за,92
ребята,81
ктонибудь,79
знает,75
расскажите,75
про,73
кого,73
будет,71
сколько,70
из,70
я,68
после,59
вузе,59
курс,59
какие,58
здравствуйте,56
вас,56
о,56
вопрос,54
тут,52
вам,50
общагу,49
это,49
поступать,48
день,48
стоит,45
учиться,44
можете,43
при,43
от,42
то,42
все,41
до,40
скажите,40
вообще,40
учится,39
перевестись,38
чтобы,37
куда,37
когонибудь,37
курса,36
со,36
вуз,35
этом,35
узнать,35
нужно,34
рассказать,34
направление,34
так,34
стипендия,34
времени,33
но,33
какого,32
получить,32
нет,32
вы,31
проходит,31
бы,31
анон,31
технологии,31
поступил,31
возможно,30
стипендию,30
нас,30
сдать,30
сложно,29
расписание,29
документы,29
факультет,28
добрый,28
году,28
бюджет,28
зачт,28
реально,27
какой,27
мгуп,26
мне,26
сейчас,26
делать,26
системы,26
кому,25
курсе,25
собираюсь,24
сессии,24
будут,24
поступить,24
физре,24
хочу,24
такой,24
народ,23
числа,23
общежитие,23
там,23
об,23
время,23
найти,23
вуза,23
нибудь,23
пересдачу,23
ваш,22
только,22
направления,21
уже,21
те,21
политех,21
помощь,20
надо,20
ты,20
академ,19
сессию,19
общаге,19
могут,19
общаги,19
возможность,19
какое,19
зачет,19
студентов,19
чем,18
очень,18
вступительные,18
специальность,18
могу,18
лучше,18
же,18
общага,18
много,18
дают,18
какая,18
политехе,18
доброго,17
каких,17
меня,17
универе,17
пересдачи,17
дела,17
специальности,17
никто,17
обучения,17
обучение,17
информационные,17
баллов,16
вопросов,16
помочь,16
которые,16
идти,16
общежитии,16
проходят,16
семестр,16
пары,16
во,16
экзамены,15
справку,15
этого,15
летом,15
сделать,15
находил,15
политеха,15
года,15
без,15
информатику,15
взять,15
пересдача,15
сдавал,14
заявление,14
люди,14
заочку,14
суток,14
поводу,14
того,14
посмотреть,14
насколько,14
списать,14
средства,14
попасть,14
год,14
пд,13
его,13
магистратуру,13
быть,13
подсказать,13
поступления,13
он,13
хочешь,13
тяжело,13
почему,13
первом,13
ктото,13
ответы,13
история,12
студент,12
остались,12
курсы,12
срочно,12
справки,12
нужны,12
пк,12
факультета,12
комнату,12
пересдать,12
тд,12
который,12
первого,12
стипендии,12
такое,11
информационных,11
здесь,11
физру,11
несколько,11
информатика,11
другой,11
были,11
направлении,11
универа,11
студенты,11
пройти,11
каком,11
както,11
мат,11
университете,11
комиссии,11
пересдач,11
работы,11
одного,11
истории,11
другую,11
мы,11
всего,11
математике,11
математика,11
сказать,11
вебтехнологии,11
условия,11
работает,11
управление,11
владимировна,10
вопросы,10
технологий,10
написать,10
первый,10
каким,10
пару,10
вторую,10
мест,10
диплома,10
физике,10
сайте,10
этот,10
забрать,10
сессия,10
нужна,10
тебя,10
экзамене,10
вашем,10
дизайн,10
чтото,10
ни,10
билеты,10
второй,10
общежития,10
нашем,10
практику,10
карту,10
систем,10
отчисляют,10
направлению,10
баллами,10
семестра,10
безопасность,10
заочке,10
места,9
семестре,9
учимся,9
егэ,9
группу,9
ещ,9
платят,9
восстановиться,9
физкультуре,9
отчисления,9
они,9
прикладная,9
сюда,9
работать,9
другого,9
занятия,9
перевод,9
шанс,9
один,9
заселения,9
препод,9
месяца,9
через,9
вот,9
эту,9
отпуск,9
месяц,9
шарит,9
прикладную,9
электронные,9
пряниках,9
связи,9
изза,9
каждый,9
менеджмент,9
ка,9
дело,9
ноября,9
потерял,8
оно,8
планирую,8
например,8
тоже,8
заявления,8
повышенную,8
социальную,8
физры,8
работу,8
поступлении,8
автозаводской,8
рассматриваю,8
такие,8
раньше,8
выбрать,8
просто,8
обстоят,8
пересдаче,8
экономике,8
информатике,8
ней,8
человек,8
свой,8
лекции,8
академический,8
обязательно,8
обратиться,8
технических,8
материалов,8
заочное,8
отзовитесь,8
математику,8
сегодня,8
владимирович,8
рекламу,8
примерно,8
летия,8
тех,8
типа,8
документов,8
веб,8
учатся,7
заселяют,7
быстро,7
группы,7
нужен,7
поступал,7
отчислении,7
потом,7
плиз,7
списки,7
отчисление,7
два,7
преподавателей,7
себе,7
сдавать,7
хотелось,7
мало,7
было,7
физику,7
всех,7
девушки,7
самом,7
договориться,7
выпускники,7
легко,7
начинается,7
номер,7
программа,7
чего,7
какието,7
писать,7
кафедры,7
диплом,7
большой,7
язык,7
подать,7
формы,7
хотел,7
информации,7
практика,7
сильно,7
дотация,7
поступаю,7
числах,7
