word,quantity
на,824
в,741
и,521
ли,473
есть,448
кто,436
с,375
по,375
привет,339
как,332
всем,270
у,259
подскажите,194
если,188
можно,185
пожалуйста,170
не,164
что,160
может,134
или,124
из,116
анон,109
для,97
здравствуйте,86
кого,82
за,79
направление,76
а,73
ктото,70
про,70
ктонибудь,69
добрый,69
к,67
день,64
расскажите,62
сколько,61
какие,61
учится,61
ребят,60
я,58
то,57
будет,56
хочу,56
технологии,56
проходит,55
знает,55
помочь,54
поступать,53
вопрос,53
тут,53
те,53
курса,53
после,52
где,51
академ,51
это,50
курс,49
когда,49
рассказать,49
вас,49
бы,48
можете,47
о,47
курсе,47
поступить,46
этом,46
экзамен,45
ребята,43
вам,42
обучение,42
проходят,42
возможно,41
бюджет,41
узнать,41
доброго,41
стоит,40
политехе,40
году,39
перевестись,39
обучения,39
получить,38
вы,38
которые,37
вообще,37
вступительные,37
вуза,36
политех,36
направления,35
меня,35
уже,35
могут,34
информационные,33
вузе,33
времени,33
но,33
учиться,33
там,33
сложно,33
дизайн,32
общежитие,32
же,32
общаге,31
при,31
магистратуру,31
общественностью,31
другого,30
от,30
сейчас,30
все,29
общагу,29
до,28
анонимно,28
группы,28
только,28
был,28
системы,28
нибудь,27
физре,27
время,27
направлении,27
связи,27
чтобы,27
специальности,26
факультет,25
дела,25
вуз,25
реально,25
суток,25
поступаю,25
управление,25
магистратуре,24
поступил,24
закрыть,23
нет,23
беседа,23
взять,23
скажите,23
какой,23
об,23
принимает,23
поводу,22
пары,22
общаги,22
лучше,22
каких,22
управления,21
вопросы,21
нас,21
общежитии,21
пд,21
сессии,21
люди,21
без,20
насколько,20
во,20
обычно,20
семестр,20
нужно,20
диплома,20
планирую,20
баллов,20
экзамены,20
расписание,19
дело,19
направлению,19
первого,19
их,19
хотелось,19
такой,19
общежития,19
сдавал,19
делать,18
заочке,18
возможность,18
пересдачи,18
какое,18
сдать,18
семестра,18
кому,18
каком,18
здесь,18
так,18
тебя,17
стипендию,17
факультета,17
диплом,16
учатся,16
другое,16
этот,16
переводился,16
подсказать,16
перевода,16
ты,16
сентября,15
студентов,15
со,15
приветствую,15
год,15
специальность,15
очно,15
когото,15
занятия,15
всего,15
пересдача,15
университете,15
реклама,15
сделать,15
дают,15
куда,15
рекламу,14
этой,14
место,14
всех,14
опыт,14
вопросов,14
политеха,14
года,14
хотела,14
сюда,14
рассматриваю,14
выбрать,14
были,14
предмету,14
другой,14
обстоят,13
будут,13
почему,13
физру,13
первом,13
причине,13
когонибудь,13
пж,13
дня,13
учебу,13
документы,13
технологий,13
информатика,13
сказать,13
найти,13
пройти,13
информационных,13
могу,13
семестре,13
истории,13
сайте,12
уйти,12
тех,12
дистанционно,12
заявление,12
думаю,12
обучении,12
перевод,12
второй,12
места,12
работать,12
производства,12
оно,12
никто,12
студенты,12
быть,12
была,12
правда,12
очень,11
графический,11
какая,11
бизнесом,11
пересдачу,11
работы,11
она,11
раз,11
они,11
мест,11
академа,11
надо,11
направлениях,11
этого,11
происходит,11
форме,11
один,11
целом,11
хотел,11
безопасность,11
баллы,11
дадут,11
поможет,11
поступал,11
вариант,11
лекции,11
написать,10
переводиться,10
повышенной,10
комфортности,10
того,10
одного,10
лабы,10
много,10
рекламы,10
заочку,10
первокурсников,10
онлайн,10
ещ,10
магистратуры,10
индустрии,10
корпусе,10
сессия,10
очнозаочное,10
он,10
баллами,10
собираюсь,10
именно,10
факультете,10
через,10
компьютерной,10
экзаменов,10
комиссии,9
группа,9
заочное,9
другую,9
инженерия,9
было,9
между,9
поделиться,9
часто,9
чтото,9
интеллектуальные,9
мне,9
какието,9
шансы,9
справку,9
поступления,9
корпусах,9
прикладная,9
своих,9
больше,9
комнате,9
стипендия,9
спросить,9
брать,9
математике,9
игровой,9
испытания,9
обеспечение,9
работает,9
преподавателей,9
получения,9
недели,9
ходить,9
да,9
договориться,9
зачет,9
универе,9
социальную,8
пересдач,8
издательское,8
друзья,8
мультимедиа,8
вступительным,8
университета,8
такое,8
преподы,8
очнозаочной,8
очное,8
ивт,8
проекта,8
учился,8
программная,8
попасть,8
обработки,8
комнаты,8
сразу,8
снимать,8
месяц,8
поступивших,8
подать,8
тем,8
систем,8
направлений,8
основном,8
еще,8
предметы,8
вебтехнологии,8
товарищи,8
студентам,8
безопасности,8
учба,8
данные,8
вступительных,8
совмещать,8
практику,8
данном,8
сдавать,8
дизайне,8
программное,8
кем,8
курсовую,8
комиссия,8
втором,8
разница,8
шарит,8
находил,8
вс,8
посмотреть,7
людей,7
вузов,7
предметов,7
предмет,7
пару,7
долгов,7
системная,7
несколько,7
материалов,7
выйти,7
примерно,7
заселение,7
пересдать,7
красного,7
какого,7
справки,7
строительство,7
буду,7
издательского,7
данный,7
рекламе,7
отпуск,7
номер,7
эту,7
экономика,7
прошлом,7
информационной,7
них,7
срочно,7
ее,7
какую,7
колледжа,7
данных,7
практика,7
ваш,7
егэ,7
потом,7
программы,7
институте,7
сдал,7
этих,7
магистры,7
теперь,7
оценки,7
интересует,7
брал,7
обратиться,7
препод,7
университет,7
народ,7
чем,7
клуб,7
пк,7
комиссию,7
курсы,7
форма,6
менеджмент,6
бакалавриат,6
под,6
вечер,6
графика,6
себе,6
посвят,6
поступает,6
отчислили,6
такая,6
разницы,6
спортивные,6
пар,6
студенческий,6
неделю,6
го,6
заочно,6
задать,6
программе,6
вероятность,6
течение,6
шанс,6
платки,6
учебы,6
вела,6
экономику,6
работу,6
информации,6
формате,6
числах,6
общага,6
поступающих,6
группу,6
качеством,6
тд,6
машиностроение,6
норм,6
абитуриентов,6
академический,6
поделитесь,6
информация,6
идти,6
тяжело,6
английскому,6
поступлении,6
первый,6
экзамена,6
хорошо,6
учат,6
комнату,6
инноватика,6
работой,6
выбор,6
ответить,6
ней,6
количество,6
журналистику,6
следующий,6
учебный,6
писал,6
деятельностью,6
проходить,6
it,6
транспортный,6
русский,6
учусь,6
ответы,6
математика,6
ит,6
отчислят,6
самое,6
мат,6
каким,6
стипендии,6
сдо,6
преподаватели,6
переводе,6
средства,6
магу,6
веб,6
тмм,6
получать,6
сессию,6
прикладной,6
отчислить,6
типа,6
курсах,6
этому,6
деятельности,6
имеется,6
уважительной,6
сих,5
пор,5
ждать,5
общежитиями,5
фите,5
нашем,5
мероприятия,5
д,5
поступили,5
москвы,5
деятельность,5
курсов,5
исит,5
практики,5
дать,5
одной,5
жить,5
бывает,5
изза,5
фит,5
журналистика,5
быстро,5
других,5
экзаменам,5
девушки,5
перед,5
связей,5
кабинете,5
анализа,5
академического,5
отпуска,5
биотехнологии,5
заочники,5
вычислительная,5
техника,5
часть,5
подробнее,5
приветик,5
поступившие,5
пообщаться,5
бизнессистемами,5
опытом,5
внутри,5
здоровья,5
тоже,5
технологических,5
