word,quantity
в,836
на,670
и,465
ли,449
есть,394
кто,381
как,359
с,327
по,302
привет,255
у,224
не,211
всем,207
можно,199
если,173
что,163
подскажите,158
или,149
пожалуйста,141
может,140
за,125
ктонибудь,117
ребят,110
а,110
к,97
из,92
для,85
день,80
когда,79
добрый,79
этом,78
здравствуйте,75
будет,75
о,74
знает,72
я,70
вам,69
анон,65
вопрос,65
вузе,62
где,60
тут,60
кого,58
году,58
помочь,55
расскажите,55
получить,54
поступать,54
сколько,53
курсе,53
вообще,53
после,52
сейчас,51
рассказать,51
принимает,51
про,50
ктото,48
уже,48
ребята,47
перевестись,47
скажите,47
то,46
экзамен,46
общежитие,45
курс,45
нужно,45
какие,44
это,42
учится,42
бюджет,41
хочу,40
все,40
анонимно,40
общаге,39
но,39
меня,39
при,39
помощь,38
обучения,38
до,38
которые,38
вас,38
нет,37
нас,37
можете,37
поступить,35
вуза,35
академ,35
возможно,35
общагу,35
общаги,34
курса,34
года,34
магистратуру,34
от,33
вы,32
проходит,31
вуз,31
семестр,31
чтобы,30
стоит,30
диплом,29
какой,29
те,29
обучение,29
учиться,28
стипендия,28
факультет,28
узнать,28
время,28
сложно,28
универе,26
общежитии,26
нибудь,26
бы,26
пд,25
какого,25
дела,25
со,25
времени,25
сдавал,25
так,24
будут,24
документы,24
информатике,24
кому,23
вступительные,23
об,23
заявление,23
учусь,23
там,23
какая,22
найти,22
направление,22
люди,22
группу,22
только,22
политеха,22
сессии,22
делать,21
происходит,21
сдавать,21
было,21
когонибудь,21
специальность,21
здесь,21
доброго,21
могут,20
ваш,20
специальности,20
стипендию,20
еще,20
поводу,20
во,20
числа,20
политех,20
сделать,19
работает,19
нужна,19
суток,19
технологии,19
общага,19
группы,18
мы,18
место,18
мне,18
куда,18
возможность,18
чтото,18
направления,18
общежития,18
сдать,17
же,17
другого,17
дистанционно,17
этого,17
переводился,17
была,17
пересдачи,17
много,17
обстоят,17
такой,17
этот,17
другой,17
очень,17
почему,16
надо,16
через,16
год,16
студенты,16
без,16
каких,16
народ,16
лучше,16
они,16
политехе,16
системы,16
университета,15
сессию,15
ты,15
забрать,15
первый,15
поможет,15
работы,15
какието,15
собираюсь,15
экзамены,15
был,15
ещ,15
были,15
раз,15
подать,15
связи,15
реально,14
универ,14
магистратуре,14
университете,14
планирую,14
студентов,14
никто,14
изза,14
два,14
термех,14
другие,14
каком,14
направлению,14
дело,14
реклама,14
стипендии,14
сказать,14
какое,14
поступлении,14
вопросов,14
диплома,13
взять,13
онлайн,13
семестра,13
другую,13
сразу,13
обычно,13
философии,13
справку,13
несколько,13
нашем,12
поступил,12
лет,12
могу,12
отчисляют,12
его,12
пары,12
истории,12
физике,12
идти,12
перевода,12
справки,12
егэ,12
всех,12
учебу,12
сможет,12
направлении,12
информационные,12
такое,11
отчисление,11
расписание,11
первом,11
один,11
учебе,11
насколько,11
первого,11
перевод,11
мат,11
тоже,11
оценки,11
проходят,11
информация,11
предмету,11
такие,11
дизайн,11
просто,11
проходить,11
тем,11
справка,11
правда,11
написать,11
семестре,11
пересдачу,10
получения,10
перейти,10
одного,10
курсы,10
универа,10
практика,10
дают,10
ну,10
тех,10
долгов,10
летом,10
машин,10
экономике,10
опыт,10
поступления,10
факультета,10
информатика,10
второй,10
вступительных,10
процесс,10
поступал,10
холодильник,10
предметы,10
пару,10
квартиру,10
проект,10
комната,10
красный,9
него,9
пересдать,9
сессия,9
документов,9
дадут,9
тебя,9
хотелось,9
вступительным,9
этой,9
примерно,9
преподавателя,9
бакалавриат,9
одной,9
консультацию,9
физика,9
химии,9
гидравлике,9
более,9
скидку,9
обеспечение,9
работу,9
университет,9
большие,9
данные,9
магу,9
заселиться,9
е,9
студент,9
другом,9
сайте,9
както,9
магистратуры,9
заочке,9
данный,9
среди,9
учебный,9
управление,9
помогите,9
когото,9
информационных,9
общественностью,9
приветствую,9
подавать,9
отчислиться,8
срочно,8
учился,8
каким,8
следующем,8
больше,8
переводиться,8
быть,8
зачт,8
технологий,8
сдал,8
комиссии,8
комунибудь,8
который,8
бюджете,8
экзамена,8
преподы,8
того,8
заочку,8
it,8
месяц,8
электротехнике,8
прикладной,8
детали,8
тмм,8
ps,8
программное,8
индустрии,8
желательно,8
он,8
инфа,8
этим,8
летней,8
сих,8
пор,8
открытые,8
влияет,8
подсказать,8
хорошо,8
разбирается,8
том,8
плиз,8
пересдач,8
написано,8
комнату,8
пересдача,8
дипломе,8
втором,8
ответить,8
