word,quantity
в,820
на,705
ли,454
и,445
как,419
есть,406
кто,373
по,358
с,304
у,259
не,231
можно,201
что,196
привет,194
если,174
всем,150
или,147
может,141
пожалуйста,134
принимает,134
подскажите,133
а,126
ребят,116
из,113
за,101
ктонибудь,93
экзамен,92
к,90
для,84
будет,82
кого,81
когда,76
знает,71
день,71
я,69
где,68
добрый,67
здравствуйте,66
тут,64
вам,64
о,63
после,58
про,58
вузе,58
расскажите,57
анон,53
сколько,52
ребята,52
то,52
общагу,50
вопрос,49
помочь,47
уже,46
курс,46
поступать,45
стоит,44
до,44
перевестись,43
какие,43
все,43
учится,43
вообще,42
от,42
узнать,42
нет,41
вас,41
этом,40
общежитие,39
получить,38
курсе,37
там,37
общаге,37
технологии,37
бюджет,36
меня,36
курса,35
сейчас,34
вуза,34
но,34
нас,34
скажите,34
чтобы,33
академ,33
вуз,33
рассказать,33
общаги,32
времени,32
это,32
хочу,31
анонимно,31
при,31
стипендия,31
реально,31
году,30
какой,30
универе,30
те,30
сессии,29
так,29
возможно,28
бы,28
проходит,28
поступить,28
нужно,28
дела,28
физре,28
ваш,27
нибудь,27
системы,27
делать,26
ктото,26
факультет,26
мы,26
какого,26
общага,26
время,26
будут,25
найти,25
только,24
куда,24
могут,24
во,24
можете,24
зачт,24
учиться,23
был,23
информационные,23
которые,23
магистратуру,22
документы,22
общежития,22
такой,22
семестр,22
числа,22
политехе,22
поступил,22
здесь,21
обучения,21
поводу,21
стипендию,21
об,21
со,21
первого,21
еще,20
кому,20
сделать,20
специальности,20
студенты,20
другого,20
могу,20
группу,20
группы,20
без,20
сессию,19
студентов,19
общежитии,19
помощь,19
работу,19
направления,19
сдать,19
люди,19
быть,18
физике,18
работы,18
другой,18
обучение,17
заявление,17
сложно,17
пересдача,17
пд,17
идти,17
диплом,16
насколько,16
правда,16
каких,16
очень,16
проходят,16
года,16
направление,16
термех,16
факультета,16
политех,16
лучше,16
информатика,16
его,15
возможность,15
тмм,15
первом,15
сдавать,15
магистратуре,15
факультете,15
пересдачи,15
другие,15
истории,15
сразу,15
надо,15
доброго,14
суток,14
взять,14
вступительные,14
же,14
учебу,14
заочку,14
лет,14
средства,14
комнату,14
подсказать,14
сказать,14
обстоят,14
просто,14
пк,14
первый,14
собираюсь,14
техника,14
обработки,14
вы,13
подать,13
диплома,13
чтото,13
семестра,13
направлению,13
какое,13
тебя,13
ещ,13
информатике,13
