word,quantity
в,820
на,707
и,475
ли,443
есть,442
как,375
кто,372
с,352
по,299
привет,263
у,255
всем,213
что,207
можно,202
не,190
если,178
или,144
пожалуйста,144
подскажите,143
из,117
может,100
к,98
а,95
за,93
для,91
здравствуйте,89
я,87
ребят,80
ктонибудь,76
анон,74
вузе,65
курс,64
где,64
какие,64
о,63
будет,63
вопрос,63
общежитие,63
кого,62
день,62
расскажите,61
про,61
добрый,59
общагу,59
экзамен,59
принимает,56
сколько,55
после,55
поступать,53
тут,52
вам,52
когда,51
то,51
получить,46
бы,46
знает,45
ребята,45
курса,45
рассказать,44
курсе,44
это,44
но,44
учиться,43
поступить,43
от,42
бюджет,41
этом,41
вас,41
дела,41
хочу,41
можете,40
вуза,40
направление,40
направления,40
академ,39
времени,39
узнать,39
году,38
стоит,38
перевестись,38
учится,38
общаге,37
меня,37
какой,36
ктото,36
сейчас,36
при,35
чтобы,33
доброго,33
так,33
там,33
все,33
вуз,32
лучше,32
проходит,32
политехе,32
обучение,32
технологии,31
скажите,31
нужно,31
общежитии,31
анонимно,31
вы,31
которые,31
общежития,31
вообще,31
помочь,30
нет,30
делать,30
общага,30
люди,28
общаги,28
уже,28
нас,28
нибудь,28
направлении,28
время,27
обстоят,27
ты,26
какое,26
могут,26
сложно,25
со,25
политех,25
суток,25
группы,24
обучения,23
факультет,23
студенты,23
магистратуру,22
мне,22
универе,22
какая,22
дело,22
было,21
когонибудь,21
возможно,21
такой,21
сдавал,21
системы,21
во,21
специальности,20
работу,20
пд,20
был,20
только,20
работы,20
насколько,20
какую,19
выбрать,19
студентов,19
здесь,19
до,19
куда,18
быть,18
сессии,18
сессию,18
работать,18
стипендия,18
много,18
ещ,18
политеха,18
те,18
сдать,17
каком,17
могу,17
об,17
занятия,17
заявление,17
первого,17
другого,17
мы,17
найти,17
информационные,17
семестр,17
университете,17
будут,17
комната,17
мест,17
диплом,16
пересдачу,16
возможность,16
всех,16
семестра,16
этого,16
взять,16
проходят,16
года,15
реально,15
лабы,15
дизайн,15
сделать,15
другой,15
без,15
справку,15
каких,15
собираюсь,15
хотел,15
хотелось,15
какого,15
поступил,15
первом,14
немного,14
факультете,14
сессия,14
расписание,14
хочешь,14
помощь,14
она,14
экзамены,14
секция,14
отлично,14
стипендию,14
безопасность,14
место,13
специальность,13
магистратуре,13
почему,13
же,13
строительство,13
перевода,13
господа,13
учебу,13
были,13
такая,13
шансы,13
издательское,13
дают,13
вопросы,13
шарит,13
год,13
народ,13
очень,13
сказать,13
надо,13
баллами,13
б,13
пересдачи,12
попасть,12
шанс,12
такое,12
поступления,12
физре,12
интересует,12
компьютерной,12
нужна,12
опыт,12
идти,12
была,12
дистанционно,12
вступительные,12
вебтехнологии,12
баллов,12
данные,12
поступаю,12
вашем,11
его,11
ни,11
экзамене,11
сдавать,11
первый,11
ваш,11
он,11
учатся,11
технологий,11
именно,11
пройти,11
математике,11
планирую,11
зачт,11
графики,11
одной,11
между,11
целом,11
этот,11
дня,11
вшэ,11
поводу,11
том,11
кому,11
информатика,11
большие,11
систем,10
который,10
какието,10
другое,10
изза,10
стипендии,10
пары,10
через,10
тех,10
интересно,10
дизайне,10
один,10
комнате,10
другую,10
просто,10
да,10
вступительных,10
факультета,10
информационных,10
вечер,10
комиссии,10
программирования,10
правда,9
зачет,9
подсказать,9
графический,9
думаю,9
еще,9
приветствую,9
всего,9
поступал,9
переводился,9
курсы,9
того,9
летом,9
чем,9
хотела,9
комнату,9
когото,9
машиностроения,9
месяца,9
общественностью,9
тест,9
обеспечение,9
справки,9
комнаты,9
е,9
холодильник,9
такие,9
деятельность,9
других,9
буду,9
открытые,9
отчислили,8
уйти,8
предмет,8
написать,8
закрыть,8
физру,8
долги,8
диплома,8
отпуск,8
предмету,8
помогите,8
студент,8
связи,8
никто,8
сюда,8
вот,8
учебе,8
остались,8
семестре,8
прошлом,8
обычно,8
они,8
сразу,8
веб,8
раз,8
биотехнологии,8
программное,8
игровой,8
индустрии,8
математика,8
жить,8
подать,8
заселиться,8
туда,8
очно,8
тем,8
ситуация,8
подавать,8
издательского,8
сильно,8
происходит,8
kтo,8
беседа,8
журналистики,8
людей,8
человек,7
брать,7
переводе,7
второго,7
управления,7
практику,7
баллы,7
задания,7
разработка,7
отчисления,7
какиенибудь,7
безопасности,7
пропуск,7
получать,7
вступительным,7
средства,7
причины,7
практика,7
окончания,7
больше,7
тебя,7
экзаменов,7
дадут,7
рассматриваю,7
чтоб,7
графике,7
вс,7
разницу,7
которых,7
тмм,7
универа,7
пересдача,7
клуб,7
данных,7
нужны,7
истории,7
документы,7
тоже,7
учился,7
поделитесь,7
сам,7
студентам,7
ней,7
участие,7
регистрация,7
вузов,7
нашем,7
автозаводской,7
заочку,7
егэ,7
момент,7
пoмoчь,7
московский,7
бюджетных,7
it,7
управление,6
посоветуете,6
график,6
проектирование,6
сдал,6
себе,6
вкр,6
лет,6
хочет,6
делал,6
переводиться,6
второй,6
сентября,6
месяц,6
получил,6
информационной,6
отчисляют,6
ходить,6
ну,6
процесс,6
госы,6
брал,6
каким,6
два,6
дней,6
программа,6
самое,6
втором,6
него,6
университета,6
работает,6
программе,6
команда,6
свой,6
человека,6
подробнее,6
препод,6
материалов,6
лекции,6
гдето,6
практики,6
срочно,6
потом,6
учишься,6
вопросов,6
тд,6
платят,6
товарищи,6
пару,6
балл,6
количество,6
курсов,6
рекламы,6
поменять,6
зал,6
студентом,6
поэтому,6
занимается,6
универ,6
обязательно,6
переселиться,6
группу,6
друзья,6
теперь,6
поступление,6
магу,6
мероприятие,6
парке,6
аттракционов,6
бжд,6
писать,6
корпус,6
русскому,6
мультимедиа,6
этой,6
программу,6
купить,6
получается,6
заочке,6
одного,6
продат,6
корпусе,6
насчт,6
основы,6
совмещать,6
сдачи,6
преподаватели,6
нужен,6
информационная,6
института,6
числа,6
пo,6
мoжeт,6
c,6
общежитиях,6
первокурсников,6
машиностроение,6
красный,5
эти,5
магистратуры,5
доки,5
места,5
снова,5
армию,5
выходные,5
преподавателя,5
спец,5
назад,5
курсовой,5
защита,5
наш,5
находил,5
готов,5
себя,5
долго,5
предметам,5
разбирается,5
дать,5
академический,5
москвы,5
дверей,5
обработки,5
уважительной,5
подготовки,5
академа,5
объяснить,5
тебе,5
обучении,5
обстоятельствам,5
пойти,5
начала,5
заселения,5
учебой,5
группа,5
девушки,5
данной,5
роботов,5
работа,5
набор,5
вариант,5
заселении,5
инженерной,5
н,5
скоро,5
бесплатно,5
квартиру,5
среди,5
какойто,5
оценка,5
деньги,5
практические,5
территории,5
процессов,5
экзамену,5
сдавали,5
ним,5
деканат,5
ой,5
кружок,5
существует,5
комиссия,5
платное,5
перепоступить,5
поделиться,5
хорошо,5
онлайн,5
общежитий,5
занимался,5
ответить,5
задать,5
смогу,5
вероятность,5
секции,5
примерно,5
заявления,5
семейную,5
поступлении,5
преподаватель,5
электронном,5
посмотреть,5
их,5
любишь,5
политехом,5
тесты,5
учба,5
свои,5
вроде,5
москве,5
автоматы,5
перейти,5
любителей,5
самыми,5
группе,5
направлению,5
конспекты,5
вместо,5
собеседование,5
экзамена,5
первокурсники,5
поступает,5
месте,5
чтото,5
писал,5
команду,5
условия,5
