word,quantity
в,825
на,702
и,421
как,413
кто,352
по,330
есть,313
ли,311
с,292
у,283
не,265
что,223
ребят,207
можно,171
или,165
принимает,165
если,144
подскажите,138
пожалуйста,132
когда,118
привет,116
за,113
я,112
экзамен,107
где,105
всем,103
для,101
а,100
кого,99
знает,91
ребята,91
к,88
из,86
может,82
будет,81
ктонибудь,79
о,71
это,67
курс,64
уже,56
нужно,54
вопрос,51
то,50
куда,48
общагу,48
вас,46
там,46
вы,45
меня,44
от,44
сколько,44
нибудь,43
мне,43
никто,43
но,42
какие,42
все,42
про,41
до,40
день,40
скажите,39
делать,38
когонибудь,38
расскажите,38
общаге,38
со,37
общежитие,37
общаги,36
тут,35
здравствуйте,35
чтобы,33
во,33
курса,33
будут,33
только,31
учится,31
получить,31
числа,30
нет,29
дела,29
расписание,28
народ,28
после,28
находил,28
мгуп,27
общага,27
вообще,26
ка,26
физре,26
политехе,26
стипендия,26
какого,26
проходит,26
так,26
какой,25
вам,25
зачт,25
почему,25
хочу,25
бы,25
узнать,25
поступать,24
поступить,24
перевестись,24
при,24
москве,24
семестр,24
этом,24
политеха,24
сделать,24
политех,24
добрый,24
карту,24
время,23
такой,23
зачет,23
стоит,23
найти,23
обучение,23
надо,22
которые,22
возможно,22
году,22
кому,22
общежития,22
обучения,22
обстоят,22
сдать,21
вуз,21
экзамены,21
сложно,21
справки,21
заявление,21
образование,21
информатика,21
сейчас,20
примерно,20
доброго,20
времени,20
курсе,20
направление,19
номер,19
учиться,19
ещ,19
люди,19
те,19
могу,19
реально,18
помощь,18
его,18
нас,18
второй,18
пк,18
он,18
суток,18
был,18
стипендию,18
работает,18
магистратуру,18
ты,18
корпусе,18
лучше,17
программе,17
дело,17
вузе,17
технологии,17
обратиться,17
справку,17
го,17
каком,17
общежитии,17
сессии,16
ходить,16
можете,16
еще,16
физру,15
один,15
ваш,15
универе,15
без,15
года,15
об,15
студентов,15
пересдача,15
сдавать,15
вот,15
очень,15
вопросы,15
нужен,15
группы,15
сайте,15
документы,15
поступил,15
занятия,14
стипендии,14
списки,14
чем,14
идти,14
остались,14
они,14
ответы,14
бюджет,14
она,14
первый,14
было,14
дают,14
срочно,14
же,14
помогите,14
потом,13
могут,13
сегодня,13
курсы,13
издательское,13
пропуск,13
безопасность,13
потерял,13
специальности,13
пришла,13
каких,13
том,13
ктото,13
кампусную,13
комнату,13
техника,13
собрании,13
вуза,12
год,12
вс,12
факультет,12
этот,12
университете,12
мат,12
этого,12
была,12
вопросов,12
раз,12
направлению,12
язык,12
здесь,12
ее,12
мами,12
быть,12
россии,12
возможность,12
презентаций,12
через,12
направления,12
универ,12
группе,12
систем,12
холодильник,12
вычислительная,12
рассказать,11
дизайн,11
списать,11
матпомощь,11
учусь,11
владимирович,11
пересдаче,11
пересдачу,11
поводу,11
аудитории,11
управление,11
нужна,11
девочки,11
ну,11
кабинете,11
направлении,11
заселения,11
сразу,10
другой,10
пары,10
вступительные,10
мы,10
какое,10
сергей,10
нужны,10
рубежом,10
другую,10
специальность,10
всех,10
деньги,10
такие,10
каникулы,10
университетов,10
учеба,10
подавать,10
факультета,10
происходит,10
нести,10
собрание,10
сентября,10
посвящение,10
заселили,10
правда,9
первого,9
больше,9
другого,9
обычно,9
проходят,9
студенты,9
академ,9
секции,9
мгупа,9
шарит,9
преподавателя,9
физры,9
учат,9
вчера,9
зале,9
мгупе,9
сюда,9
тем,9
человек,9
завтра,9
сессия,9
деятельности,9
билеты,9
курсов,9
тебя,9
финансирования,9
какому,9
пряниках,9
информационные,9
находится,9
такое,9
первой,9
магистратуре,9
предметы,9
карты,9
комната,9
зачислении,9
шанс,8
занятий,8
начинаются,8
предмету,8
собираюсь,8
отчисление,8
университета,8
студенческий,8
субботу,8
студак,8
ходит,8
теперь,8
оплаты,8
какойто,8
общагах,8
товарищи,8
нашего,8
сессию,8
хочет,8
взять,8
группа,8
какую,8
ребятки,8
писать,8
пройти,8
мира,8
основы,8
друзья,8
комнаты,8
истории,8
обязательно,8
рекламы,8
именно,8
дальше,8
соц,8
елена,8
зал,8
максим,8
сказать,8
начинается,8
история,8
факультете,8
информации,8
купить,8
очнозаочном,8
продает,8
самостоятельно,8
первокурсников,8
первокурсники,8
подсказать,7
работы,7
одного,7
ходил,7
разбирается,7
ничего,7
пересдач,7
всего,7
много,7
иидиж,7
приходить,7
учимся,7
физике,7
заочку,7
какая,7
учебы,7
знаю,7
московский,7
сопромат,7
закрыть,7
хорошо,7
работу,7
диплом,7
е,7
поступлении,7
программы,7
сдавал,7
хотел,7
it,7
както,7
интересно,7
пересдачи,7
высшее,7
educationusa,7
сша,7
издательском,7
дотацию,7
магистратуры,7
университет,7
прошлом,7
тройку,7
сказали,7
машиностроение,7
информатики,7
прийти,7
поздняков,7
первом,7
экзамене,7
этой,7
справка,7
че,7
программа,7
ке,7
того,7
личном,7
снилс,7
заселяют,7
системах,7
отчисляют,6
подъезд,6
своей,6
отчислить,6
забрать,6
свой,6
испытания,6
тяжело,6
поделитесь,6
экономика,6
смысл,6
два,6
хотелось,6
группу,6
адресу,6
говорят,6
татьяна,6
магистры,6
учебного,6
должны,6
николай,6
изучать,6
платников,6
летия,6
изза,6
сопромату,6
марта,6
кафедры,6
имя,6
электротехнике,6
даже,6
возможностях,6
получать,6
несколько,6
часов,6
договориться,6
ему,6
ни,6
дни,6
владимировна,6
автозаводе,6
границей,6
нами,6
повышенную,6
сам,6
дней,6
преподов,6
